BTC/USD
ETH/USD
LINK/USD
BNB/USD
TRX/USD
DOT/USD
ADA/USD
EOS/USD
LTC/USD
BCH/USD
XRP/USD
ETC/USD
FIL/USD
EGLD/USD
DOGE/USD
UNI/USD
THETA/USD
XLM/USD
SOL/USD
FTM/USD
SAND/USD
MANA/USD
AVAX/USD
GALAUSD_PERP
MATIC/USD
NEAR/USD
ATOM/USD
AAVE/USD
AXS/USD
ROSE/USD
XTZ/USD
ICX/USD
ALGO/USD
RUNE/USD
APE/USD
VETUSD_PERP
ZILUSD_PERP
KNC/USD
XMR/USD
GMT/USD
OP/USD
ENS/USD
CHZ/USD
APT/USD
