Symbol
BTC/USD
BTCUSD_230331
BTCUSD_230630
ETH/USD
ETHUSD_230331
ETHUSD_230630
LINK/USD
BNB/USD
TRX/USD
DOT/USD
ADA/USD
EOS/USD
LTC/USD
BCH/USD
XRP/USD
ETC/USD
FIL/USD
EGLD/USD
DOGE/USD
UNI/USD
THETA/USD
XLM/USD
SOL/USD
FTM/USD
SAND/USD
MANA/USD
AVAX/USD
GALAUSD_PERP
MATIC/USD
NEAR/USD
ATOM/USD
AAVE/USD
AXS/USD
ROSE/USD
XTZ/USD
ICX/USD
ALGO/USD
RUNE/USD
APE/USD
VETUSD_PERP
ZILUSD_PERP
KNC/USD
XMR/USD
GMT/USD
OP/USD
ENS/USD
CHZ/USD
ADAUSD_230331
LINKUSD_230331
BCHUSD_230331
DOTUSD_230331
XRPUSD_230331
LTCUSD_230331
BNBUSD_230331
APT/USD
ADAUSD_230630
LINKUSD_230630
BCHUSD_230630
DOTUSD_230630
XRPUSD_230630
LTCUSD_230630
BNBUSD_230630
